rank 0: start pid=496832 shape=p2p_ring
rank 0: round 9350 ok checksum=668128950
rank 0: round 9375 ok checksum=671556000
rank 0: round 9400 ok checksum=674991800
rank 0: round 9425 ok checksum=678436350
rank 0: round 9450 ok checksum=681889650
rank 0: round 9475 ok checksum=685351700
rank 0: round 9500 ok checksum=688822500
rank 0: round 9525 ok checksum=692302050
rank 0: round 9550 ok checksum=695790350
rank 0: round 9575 ok checksum=699287400
rank 0: round 9600 ok checksum=702793200
rank 0: round 9625 ok checksum=706307750
rank 0: round 9650 ok checksum=709831050
rank 0: round 9675 ok checksum=713363100
rank 0: round 9700 ok checksum=716903900
rank 0: round 9725 ok checksum=720453450
rank 0: round 9750 ok checksum=724011750
rank 0: round 9775 ok checksum=727578800
rank 0: round 9800 ok checksum=731154600
rank 0: round 9825 ok checksum=734739150
rank 0: round 9850 ok checksum=738332450
rank 0: round 9875 ok checksum=741934500
rank 0: round 9900 ok checksum=745545300
rank 0: round 9925 ok checksum=749164850
rank 0: round 9950 ok checksum=752793150
rank 0: round 9975 ok checksum=756430200
rank 0: round 10000 ok checksum=760076000
rank 0: round 10025 ok checksum=763730550
rank 0: round 10050 ok checksum=767393850
rank 0: round 10075 ok checksum=771065900
rank 0: round 10100 ok checksum=774746700
rank 0: round 10125 ok checksum=778436250
rank 0: round 10150 ok checksum=782134550
rank 0: round 10175 ok checksum=785841600
rank 0: round 10200 ok checksum=789557400
rank 0: round 10225 ok checksum=793281950
rank 0: round 10250 ok checksum=797015250
rank 0: round 10275 ok checksum=800757300
rank 0: round 10300 ok checksum=804508100
rank 0: round 10325 ok checksum=808267650
rank 0: round 10350 ok checksum=812035950
rank 0: round 10375 ok checksum=815813000
rank 0: round 10400 ok checksum=819598800
rank 0: round 10425 ok checksum=823393350
rank 0: round 10450 ok checksum=827196650
rank 0: round 10475 ok checksum=831008700
rank 0: round 10500 ok checksum=834829500
rank 0: round 10525 ok checksum=838659050
rank 0: round 10550 ok checksum=842497350
rank 0: round 10575 ok checksum=846344400
rank 0: round 10600 ok checksum=850200200
rank 0: round 10625 ok checksum=854064750
rank 0: round 10650 ok checksum=857938050
rank 0: round 10675 ok checksum=861820100
rank 0: round 10700 ok checksum=865710900
rank 0: round 10725 ok checksum=869610450
rank 0: round 10750 ok checksum=873518750
rank 0: round 10775 ok checksum=877435800
rank 0: round 10800 ok checksum=881361600
rank 0: round 10825 ok checksum=885296150
rank 0: round 10850 ok checksum=889239450
rank 0: round 10875 ok checksum=893191500
rank 0: round 10900 ok checksum=897152300
rank 0: round 10925 ok checksum=901121850
rank 0: round 10950 ok checksum=905100150
rank 0: round 10975 ok checksum=909087200
rank 0: round 11000 ok checksum=913083000
rank 0: round 11025 ok checksum=917087550
rank 0: round 11050 ok checksum=921100850
rank 0: round 11075 ok checksum=925122900
rank 0: round 11100 ok checksum=929153700
rank 0: round 11125 ok checksum=933193250
rank 0: round 11150 ok checksum=937241550
rank 0: round 11175 ok checksum=941298600
rank 0: round 11200 ok checksum=945364400
rank 0: round 11225 ok checksum=949438950
rank 0: round 11250 ok checksum=953522250
rank 0: round 11275 ok checksum=957614300
rank 0: round 11300 ok checksum=961715100
rank 0: round 11325 ok checksum=965824650
rank 0: round 11350 ok checksum=969942950
rank 0: round 11375 ok checksum=974070000
rank 0: round 11400 ok checksum=978205800
rank 0: round 11425 ok checksum=982350350
rank 0: round 11450 ok checksum=986503650
rank 0: round 11475 ok checksum=990665700
rank 0: round 11500 ok checksum=994836500
rank 0: round 11525 ok checksum=999016050
rank 0: round 11550 ok checksum=1003204350
rank 0: round 11575 ok checksum=1007401400
rank 0: round 11600 ok checksum=1011607200
rank 0: round 11625 ok checksum=1015821750
rank 0: round 11650 ok checksum=1020045050
rank 0: round 11675 ok checksum=1024277100
rank 0: round 11700 ok checksum=1028517900
rank 0: round 11725 ok checksum=1032767450
rank 0: round 11750 ok checksum=1037025750
rank 0: round 11775 ok checksum=1041292800
rank 0: round 11800 ok checksum=1045568600
rank 0: round 11825 ok checksum=1049853150
rank 0: round 11850 ok checksum=1054146450
rank 0: round 11875 ok checksum=1058448500
rank 0: round 11900 ok checksum=1062759300
rank 0: round 11925 ok checksum=1067078850
rank 0: round 11950 ok checksum=1071407150
rank 0: round 11975 ok checksum=1075744200
rank 0: round 12000 ok checksum=1080090000
rank 0: round 12025 ok checksum=1084444550
rank 0: round 12050 ok checksum=1088807850
rank 0: round 12075 ok checksum=1093179900
rank 0: round 12100 ok checksum=1097560700
rank 0: round 12125 ok checksum=1101950250
rank 0: round 12150 ok checksum=1106348550
rank 0: round 12175 ok checksum=1110755600
rank 0: round 12200 ok checksum=1115171400
rank 0: round 12225 ok checksum=1119595950
rank 0: round 12250 ok checksum=1124029250
rank 0: round 12275 ok checksum=1128471300
rank 0: round 12300 ok checksum=1132922100
rank 0: round 12325 ok checksum=1137381650
rank 0: round 12350 ok checksum=1141849950
rank 0: round 12375 ok checksum=1146327000
rank 0: round 12400 ok checksum=1150812800
rank 0: round 12425 ok checksum=1155307350
rank 0: round 12450 ok checksum=1159810650
rank 0: round 12475 ok checksum=1164322700
rank 0: round 12500 ok checksum=1168843500
rank 0: round 12525 ok checksum=1173373050
rank 0: round 12550 ok checksum=1177911350
rank 0: round 12575 ok checksum=1182458400
rank 0: round 12600 ok checksum=1187014200
rank 0: round 12625 ok checksum=1191578750
rank 0: round 12650 ok checksum=1196152050
rank 0: round 12675 ok checksum=1200734100
rank 0: round 12700 ok checksum=1205324900
rank 0: round 12725 ok checksum=1209924450
rank 0: round 12750 ok checksum=1214532750
rank 0: round 12775 ok checksum=1219149800
rank 0: round 12800 ok checksum=1223775600
rank 0: round 12825 ok checksum=1228410150
rank 0: round 12850 ok checksum=1233053450
rank 0: round 12875 ok checksum=1237705500
rank 0: round 12900 ok checksum=1242366300
rank 0: round 12925 ok checksum=1247035850
rank 0: round 12950 ok checksum=1251714150
rank 0: round 12975 ok checksum=1256401200
rank 0: round 13000 ok checksum=1261097000
rank 0: round 13025 ok checksum=1265801550
rank 0: round 13050 ok checksum=1270514850
rank 0: round 13075 ok checksum=1275236900
rank 0: round 13100 ok checksum=1279967700
rank 0: round 13125 ok checksum=1284707250
rank 0: round 13150 ok checksum=1289455550
rank 0: round 13175 ok checksum=1294212600
rank 0: round 13200 ok checksum=1298978400
rank 0: round 13225 ok checksum=1303752950
rank 0: round 13250 ok checksum=1308536250
rank 0: round 13275 ok checksum=1313328300
rank 0: round 13300 ok checksum=1318129100
rank 0: round 13325 ok checksum=1322938650
rank 0: round 13350 ok checksum=1327756950
rank 0: round 13375 ok checksum=1332584000
rank 0: round 13400 ok checksum=1337419800
rank 0: round 13425 ok checksum=1342264350
rank 0: round 13450 ok checksum=1347117650
rank 0: round 13475 ok checksum=1351979700
rank 0: round 13500 ok checksum=1356850500
rank 0: round 13525 ok checksum=1361730050
rank 0: round 13550 ok checksum=1366618350
rank 0: round 13575 ok checksum=1371515400
rank 0: round 13600 ok checksum=1376421200
rank 0: round 13625 ok checksum=1381335750
rank 0: round 13650 ok checksum=1386259050
rank 0: round 13675 ok checksum=1391191100
rank 0: round 13700 ok checksum=1396131900
rank 0: round 13725 ok checksum=1401081450
rank 0: round 13750 ok checksum=1406039750
rank 0: round 13775 ok checksum=1411006800
rank 0: round 13800 ok checksum=1415982600
rank 0: round 13825 ok checksum=1420967150
rank 0: round 13850 ok checksum=1425960450
rank 0: round 13875 ok checksum=1430962500
rank 0: round 13900 ok checksum=1435973300
rank 0: round 13925 ok checksum=1440992850
rank 0: round 13950 ok checksum=1446021150
rank 0: round 13975 ok checksum=1451058200
rank 0: round 14000 ok checksum=1456104000
rank 0: round 14025 ok checksum=1461158550
rank 0: round 14050 ok checksum=1466221850
rank 0: round 14075 ok checksum=1471293900
rank 0: round 14100 ok checksum=1476374700
rank 0: round 14125 ok checksum=1481464250
rank 0: round 14150 ok checksum=1486562550
rank 0: round 14175 ok checksum=1491669600
rank 0: round 14200 ok checksum=1496785400
rank 0: round 14225 ok checksum=1501909950
rank 0: round 14250 ok checksum=1507043250
rank 0: round 14275 ok checksum=1512185300
rank 0: round 14300 ok checksum=1517336100
rank 0: round 14325 ok checksum=1522495650
rank 0: round 14350 ok checksum=1527663950
rank 0: round 14375 ok checksum=1532841000
rank 0: round 14400 ok checksum=1538026800
rank 0: round 14425 ok checksum=1543221350
rank 0: round 14450 ok checksum=1548424650
rank 0: round 14475 ok checksum=1553636700
rank 0: round 14500 ok checksum=1558857500
rank 0: round 14525 ok checksum=1564087050
rank 0: round 14550 ok checksum=1569325350
rank 0: round 14575 ok checksum=1574572400
rank 0: round 14600 ok checksum=1579828200
rank 0: round 14625 ok checksum=1585092750
rank 0: round 14650 ok checksum=1590366050
rank 0: round 14675 ok checksum=1595648100
rank 0: round 14700 ok checksum=1600938900
rank 0: round 14725 ok checksum=1606238450
rank 0: round 14750 ok checksum=1611546750
rank 0: round 14775 ok checksum=1616863800
rank 0: round 14800 ok checksum=1622189600
rank 0: round 14825 ok checksum=1627524150
rank 0: round 14850 ok checksum=1632867450
rank 0: round 14875 ok checksum=1638219500
rank 0: round 14900 ok checksum=1643580300
rank 0: round 14925 ok checksum=1648949850
rank 0: round 14950 ok checksum=1654328150
rank 0: round 14975 ok checksum=1659715200
rank 0: DONE rounds=15000 checksum=1664895000
