rank 0: start pid=509592 shape=mixed_p2p_collective
rank 0: round 12200 ok checksum=12635372396869027676
rank 0: round 12225 ok checksum=18197438035169594386
rank 0: round 12250 ok checksum=9465134743866943268
rank 0: round 12275 ok checksum=1375287662038002032
rank 0: round 12300 ok checksum=17219692388092742096
rank 0: round 12325 ok checksum=10315173813223499826
rank 0: round 12350 ok checksum=17216270837588084288
rank 0: round 12375 ok checksum=2268503275124676408
rank 0: round 12400 ok checksum=13279712278867493958
rank 0: round 12425 ok checksum=13711980153943341302
rank 0: round 12450 ok checksum=6356909195862347954
rank 0: round 12475 ok checksum=6338855816917029080
rank 0: round 12500 ok checksum=10235314547738161314
rank 0: round 12525 ok checksum=7502501404258067902
rank 0: round 12550 ok checksum=3377371022584880118
rank 0: round 12575 ok checksum=14031005712414007176
rank 0: round 12600 ok checksum=2096461438760551310
rank 0: round 12625 ok checksum=16749379233731788566
rank 0: round 12650 ok checksum=13713181263781005642
rank 0: round 12675 ok checksum=16218899565503125064
rank 0: round 12700 ok checksum=14973805456740530186
rank 0: round 12725 ok checksum=16794351737224282096
rank 0: round 12750 ok checksum=5773286986032247474
rank 0: round 12775 ok checksum=2362143646538907502
rank 0: round 12800 ok checksum=9562609602353143230
rank 0: round 12825 ok checksum=1574174478570420176
rank 0: round 12850 ok checksum=9338264154853705742
rank 0: round 12875 ok checksum=5122042516078362614
rank 0: round 12900 ok checksum=7090388765910479234
rank 0: round 12925 ok checksum=1859940099232841664
rank 0: round 12950 ok checksum=2655160236120294138
rank 0: round 12975 ok checksum=12085511331296634894
rank 0: round 13000 ok checksum=11969841249838057046
rank 0: round 13025 ok checksum=9253914575906761632
rank 0: round 13050 ok checksum=1048611872595054792
rank 0: round 13075 ok checksum=14405303669233680010
rank 0: round 13100 ok checksum=14576582087542530240
rank 0: round 13125 ok checksum=10059101087040995512
rank 0: round 13150 ok checksum=12281596247935704668
rank 0: round 13175 ok checksum=17565801696566725642
rank 0: round 13200 ok checksum=17450942745470282876
rank 0: round 13225 ok checksum=3621122668511257440
rank 0: round 13250 ok checksum=8184821675448168192
rank 0: round 13275 ok checksum=8191600840055728794
rank 0: round 13300 ok checksum=7796019967836963528
rank 0: round 13325 ok checksum=10649896590625922712
rank 0: round 13350 ok checksum=15928249325353661876
rank 0: round 13375 ok checksum=2571656868746382636
