rank 0: start pid=345534 shape=baseline
rank 0: round 14100 ok checksum=1306697367
rank 0: round 14125 ok checksum=1311309517
rank 0: round 14150 ok checksum=1315929792
rank 0: round 14175 ok checksum=1320558192
rank 0: round 14200 ok checksum=1325194717
rank 0: round 14225 ok checksum=1329839367
rank 0: round 14250 ok checksum=1334492142
rank 0: round 14275 ok checksum=1339153042
rank 0: round 14300 ok checksum=1343822067
rank 0: round 14325 ok checksum=1348499217
rank 0: round 14350 ok checksum=1353184492
rank 0: round 14375 ok checksum=1357877892
rank 0: round 14400 ok checksum=1362579417
rank 0: round 14425 ok checksum=1367289067
rank 0: round 14450 ok checksum=1372006842
rank 0: round 14475 ok checksum=1376732742
rank 0: round 14500 ok checksum=1381466767
rank 0: round 14525 ok checksum=1386208917
rank 0: round 14550 ok checksum=1390959192
rank 0: round 14575 ok checksum=1395717592
rank 0: round 14600 ok checksum=1400484117
rank 0: round 14625 ok checksum=1405258767
rank 0: round 14650 ok checksum=1410041542
rank 0: round 14675 ok checksum=1414832442
rank 0: round 14700 ok checksum=1419631467
rank 0: round 14725 ok checksum=1424438617
rank 0: round 14750 ok checksum=1429253892
rank 0: round 14775 ok checksum=1434077292
rank 0: round 14800 ok checksum=1438908817
rank 0: round 14825 ok checksum=1443748467
rank 0: round 14850 ok checksum=1448596242
rank 0: round 14875 ok checksum=1453452142
rank 0: round 14900 ok checksum=1458316167
rank 0: round 14925 ok checksum=1463188317
rank 0: round 14950 ok checksum=1468068592
rank 0: round 14975 ok checksum=1472956992
rank 0: round 15000 ok checksum=1477853517
rank 0: round 15025 ok checksum=1482758167
rank 0: round 15050 ok checksum=1487670942
rank 0: round 15075 ok checksum=1492591842
rank 0: round 15100 ok checksum=1497520867
rank 0: round 15125 ok checksum=1502458017
rank 0: round 15150 ok checksum=1507403292
rank 0: round 15175 ok checksum=1512356692
rank 0: round 15200 ok checksum=1517318217
rank 0: round 15225 ok checksum=1522287867
rank 0: round 15250 ok checksum=1527265642
rank 0: round 15275 ok checksum=1532251542
rank 0: round 15300 ok checksum=1537245567
rank 0: round 15325 ok checksum=1542247717
rank 0: round 15350 ok checksum=1547257992
rank 0: round 15375 ok checksum=1552276392
rank 0: round 15400 ok checksum=1557302917
rank 0: round 15425 ok checksum=1562337567
rank 0: round 15450 ok checksum=1567380342
rank 0: round 15475 ok checksum=1572431242
rank 0: round 15500 ok checksum=1577490267
rank 0: round 15525 ok checksum=1582557417
rank 0: round 15550 ok checksum=1587632692
rank 0: round 15575 ok checksum=1592716092
rank 0: round 15600 ok checksum=1597807617
rank 0: round 15625 ok checksum=1602907267
rank 0: round 15650 ok checksum=1608015042
rank 0: round 15675 ok checksum=1613130942
rank 0: round 15700 ok checksum=1618254967
rank 0: round 15725 ok checksum=1623387117
rank 0: round 15750 ok checksum=1628527392
rank 0: round 15775 ok checksum=1633675792
rank 0: round 15800 ok checksum=1638832317
rank 0: round 15825 ok checksum=1643996967
rank 0: round 15850 ok checksum=1649169742
rank 0: round 15875 ok checksum=1654350642
rank 0: round 15900 ok checksum=1659539667
rank 0: round 15925 ok checksum=1664736817
rank 0: round 15950 ok checksum=1669942092
rank 0: round 15975 ok checksum=1675155492
rank 0: round 16000 ok checksum=1680377017
rank 0: round 16025 ok checksum=1685606667
rank 0: round 16050 ok checksum=1690844442
rank 0: round 16075 ok checksum=1696090342
rank 0: round 16100 ok checksum=1701344367
rank 0: round 16125 ok checksum=1706606517
rank 0: round 16150 ok checksum=1711876792
rank 0: round 16175 ok checksum=1717155192
rank 0: round 16200 ok checksum=1722441717
rank 0: round 16225 ok checksum=1727736367
rank 0: round 16250 ok checksum=1733039142
rank 0: round 16275 ok checksum=1738350042
rank 0: round 16300 ok checksum=1743669067
rank 0: round 16325 ok checksum=1748996217
rank 0: round 16350 ok checksum=1754331492
rank 0: round 16375 ok checksum=1759674892
rank 0: round 16400 ok checksum=1765026417
rank 0: round 16425 ok checksum=1770386067
rank 0: round 16450 ok checksum=1775753842
rank 0: round 16475 ok checksum=1781129742
rank 0: round 16500 ok checksum=1786513767
rank 0: round 16525 ok checksum=1791905917
rank 0: round 16550 ok checksum=1797306192
rank 0: round 16575 ok checksum=1802714592
rank 0: round 16600 ok checksum=1808131117
rank 0: round 16625 ok checksum=1813555767
rank 0: round 16650 ok checksum=1818988542
rank 0: round 16675 ok checksum=1824429442
rank 0: round 16700 ok checksum=1829878467
rank 0: round 16725 ok checksum=1835335617
rank 0: round 16750 ok checksum=1840800892
rank 0: round 16775 ok checksum=1846274292
rank 0: round 16800 ok checksum=1851755817
rank 0: round 16825 ok checksum=1857245467
rank 0: round 16850 ok checksum=1862743242
rank 0: round 16875 ok checksum=1868249142
rank 0: round 16900 ok checksum=1873763167
rank 0: round 16925 ok checksum=1879285317
rank 0: round 16950 ok checksum=1884815592
rank 0: round 16975 ok checksum=1890353992
rank 0: round 17000 ok checksum=1895900517
rank 0: round 17025 ok checksum=1901455167
rank 0: round 17050 ok checksum=1907017942
rank 0: round 17075 ok checksum=1912588842
rank 0: round 17100 ok checksum=1918167867
rank 0: round 17125 ok checksum=1923755017
rank 0: round 17150 ok checksum=1929350292
rank 0: round 17175 ok checksum=1934953692
rank 0: round 17200 ok checksum=1940565217
