rank 0: start pid=520276 shape=noncommutative
rank 0: round 9200 ok checksum=9371475337651122160
rank 0: round 9225 ok checksum=8524440099618077985
rank 0: round 9250 ok checksum=11800989525210402838
rank 0: round 9275 ok checksum=11932692072148021386
rank 0: round 9300 ok checksum=13440930150808373028
rank 0: round 9325 ok checksum=3911484671457749069
rank 0: round 9350 ok checksum=6120753089537446519
rank 0: round 9375 ok checksum=18100072456551270874
rank 0: round 9400 ok checksum=190337635867730359
rank 0: round 9425 ok checksum=17860624970575191550
rank 0: round 9450 ok checksum=10909546848620454377
rank 0: round 9475 ok checksum=4020268182001887145
rank 0: round 9500 ok checksum=745130068982299032
rank 0: round 9525 ok checksum=11910273068475878481
rank 0: round 9550 ok checksum=9088348827053421713
rank 0: round 9575 ok checksum=16993835735031336698
rank 0: round 9600 ok checksum=3207204683874175813
rank 0: round 9625 ok checksum=5137404437513499139
rank 0: round 9650 ok checksum=6661060848490751419
rank 0: round 9675 ok checksum=10434326692727504646
rank 0: round 9700 ok checksum=1817677720603446079
rank 0: round 9725 ok checksum=6398411285293105390
rank 0: round 9750 ok checksum=15702904245689371815
rank 0: round 9775 ok checksum=8123317509075784755
rank 0: round 9800 ok checksum=637138497427593828
rank 0: round 9825 ok checksum=11173597128317154840
rank 0: round 9850 ok checksum=8197214822847558771
rank 0: round 9875 ok checksum=1221555841218071928
rank 0: round 9900 ok checksum=12670680975006900214
rank 0: round 9925 ok checksum=10045091887420111736
rank 0: round 9950 ok checksum=8476643976474515703
rank 0: round 9975 ok checksum=15407505492123052137
rank 0: round 10000 ok checksum=15445079705027815964
rank 0: round 10025 ok checksum=9003330601095704095
rank 0: round 10050 ok checksum=7811154378296645381
rank 0: round 10075 ok checksum=2880123654042614791
rank 0: round 10100 ok checksum=14822147700766311784
rank 0: round 10125 ok checksum=2572651540005232141
rank 0: round 10150 ok checksum=8149284890927225772
rank 0: round 10175 ok checksum=15745777508706302918
rank 0: round 10200 ok checksum=18142480866400779558
rank 0: round 10225 ok checksum=621405334956273057
rank 0: round 10250 ok checksum=9268872501586307789
rank 0: round 10275 ok checksum=11446832786394503196
rank 0: round 10300 ok checksum=12668989657915519543
rank 0: round 10325 ok checksum=13981848991325078737
rank 0: round 10350 ok checksum=10933874340431248463
